Equipment Number ,Equipment Class,Equipment Category,Service Group,Department,Make,Model,Year,Site,Mileage2024 (km),HourMeter2024 (hours),DowntimeHours2024 (hours),LaborHours2024 (hours)
C1510,"TRUCK, RECYCLING, RIGHT PICKUP",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,CRANE CARRIER,LET2,2009,MANITOBA YD. (250 W. 70TH),11280,NULL,432.5283305,402.73801
C1511,"TRUCK, RECYCLING, RIGHT PICKUP",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,CRANE CARRIER,LET2,2009,MANITOBA YD. (250 W. 70TH),10866,NULL,563.3838926,244.57918
C1512,"TRUCK, RECYCLING, RIGHT PICKUP",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,CRANE CARRIER,LET2,2009,MANITOBA YD. (250 W. 70TH),12178,NULL,N/A,N/A
C1513,"TRUCK, RECYCLING, RIGHT PICKUP",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,CRANE CARRIER,LET2,2009,MANITOBA YD. (250 W. 70TH),11280,NULL,409.146392,377.47167
C1514,"TRUCK, RECYCLING, RIGHT PICKUP",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,CRANE CARRIER,LET2,2009,MANITOBA YD. (250 W. 70TH),13784,NULL,N/A,N/A
C1515,"TRUCK, RECYCLING, RIGHT PICKUP",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,CRANE CARRIER,LET2,2009,MANITOBA YD. (250 W. 70TH),13283,NULL,N/A,N/A
C1516,"TRUCK, RECYCLING, RIGHT PICKUP",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,CRANE CARRIER,LET2,2009,MANITOBA YD. (250 W. 70TH),12626,NULL,250.2600014,216.7255
C1517,"TRUCK, RECYCLING, DUAL PICKUP",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,CRANE CARRIER,LET2,2009,MANITOBA YD. (250 W. 70TH),11539,NULL,742.9486113,393.75332
C1518,"TRUCK, RECYCLING, DUAL PICKUP",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,CRANE CARRIER,LET2,2009,MANITOBA YD. (250 W. 70TH),12488,NULL,387.8033352,299.51942
C1519,"TRUCK, RECYCLING, DUAL PICKUP",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,CRANE CARRIER,LET2,2009,MANITOBA YD. (250 W. 70TH),12370,NULL,252.3291686,204.54225
C1520,"TRUCK, RECYCLING, RIGHT PICKUP",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,CRANE CARRIER,LET2,2009,MANITOBA YD. (250 W. 70TH),10892,NULL,N/A,N/A
C1521,"TRUCK, RECYCLING, RIGHT PICKUP",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,CRANE CARRIER,LET2,2009,MANITOBA YD. (250 W. 70TH),11856,NULL,358.9930562,185.9322
C1522,"TRUCK, RECYCLING, RIGHT PICKUP",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,CRANE CARRIER,LET2,2009,MANITOBA YD. (250 W. 70TH),10985,NULL,412.6238887,287.59638
C1524,"TRUCK, RECYCLING, RIGHT PICKUP",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,CRANE CARRIER,LET2,2009,MANITOBA YD. (250 W. 70TH),11989,NULL,476.8447205,341.63632
C1554,"SWEEPER, MECHANICAL, VACUUM ASSIST, RIDE-ON, DIESEL",hvy equip,Engineering Services,ENGINEERING SANITATION OPER.,TENNANT,SENTINEL,2004,NATIONAL YD. (701 NATIONAL),NULL,300,989.3435932,269.76638
C1555,"TRUCK, REFUSE, REAR LOADER, 25 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,GENERAL MOTORS,TF7B064,2001,MANITOBA YD. (250 W. 70TH),17872,NULL,486.4527826,218.00249
C1564,"TRUCK, REFUSE, REAR LOADER, 25 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,GENERAL MOTORS,TF7B064,2001,MANITOBA YD. (250 W. 70TH),17042,NULL,1018.844442,381.69503
C1567,"TRUCK, REFUSE, REAR LOADER, 25 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,GENERAL MOTORS,TF7B064,2001,MANITOBA YD. (250 W. 70TH),18750,NULL,323.1866677,163.49641
C1568,"TRUCK, REFUSE, REAR LOADER, 25 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,GENERAL MOTORS,TF7B064,2001,MANITOBA YD. (250 W. 70TH),11288,NULL,491.9222209,206.40216
C1572,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,997,471.9702729,217.64138
C1573,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1868,708.4919488,467.32168
C1574,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1440,507.568055,310.14176
C1575,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1189,700.7977868,431.43499
C1576,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1253,469.1961144,269.46219
C1577,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1218,525.0238902,404.07636
C1578,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1624,780.471102,536.16336
C1579,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1196,880.5047177,421.41748
C1580,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1321,472.7388836,323.33897
C1581,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1318,553.9236185,306.95614
C1582,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1383,897.5802867,418.22247
C1583,"TRUCK, REFUSE, SIDE LOADER, AUTOMATED, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1116,438.8188882,358.43088
C1584,"TRUCK, REFUSE, REAR LOADER, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1498,310.3255518,223.30799
C1585,"TRUCK, REFUSE, REAR LOADER, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,2100,269.0138904,253.4589
C1586,"TRUCK, REFUSE, REAR LOADER, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1536,205.0130548,145.31168
C1587,"TRUCK, REFUSE, REAR LOADER, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,1408,207.3466679,134.12668
C1588,"TRUCK, REFUSE, REAR LOADER, 20 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,STERLING,CONDOR,2005,MANITOBA YD. (250 W. 70TH),NULL,881,372.8258338,301.81329
C1617,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS COLLECTIONS,FORD,E150,2002,NATIONAL YD. (701 NATIONAL),9042,NULL,50.24833345,21.19946
C1618,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS COLLECTIONS,FORD,E150,2002,NATIONAL YD. (701 NATIONAL),7364,NULL,171.777779,45.22747
C1627,"FORKLIFT, LIGHT",hvy equip,Engineering Services,ENGINEERING EQUIPMENT OPER.,TOYOTA,7FGU25,2004,MANITOBA YD. (250 W. 70TH),NULL,321,230.5283332,117.09922
C1628,"FORKLIFT, LIGHT",hvy equip,Engineering Services,ENGINEERING EQUIPMENT OPER.,TOYOTA,7FGU25,2004,MANITOBA YD. (250 W. 70TH),NULL,120,N/A,N/A
C1636,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS MAINTENANCE,FORD,F350,2002,NATIONAL YD. (701 NATIONAL),2527,NULL,85.55805455,13.33694
C1639,"TRUCK, ROADLINE MARKER",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,GENERAL MOTORS,T8500,2009,NATIONAL YD. (701 NATIONAL),1490,NULL,831.7533345,217.81419
C1647,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F250,2002,NATIONAL YD. (701 NATIONAL),6282,NULL,151.4580553,18.94417
C1653,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING TRAFFIC MANAGEMENT,FORD,RANGER,2002,CROSSROADS (507 W. BROADWAY),5704,NULL,35.71888888,2.68806
C1657,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F250,2006,NATIONAL YD. (701 NATIONAL),8662,NULL,157.6894454,59.64586
C1658,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F150,2013,NATIONAL YD. (701 NATIONAL),15313,NULL,44.26000071,8.02834
C1662,"TRUCK, FLATDECK, LIGHT",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F350,2000,NATIONAL YD. (701 NATIONAL),4572,NULL,35.03694439,17.6914
C1666,"VAN, MINI, 7 PASSENGER",light duty,Engineering Services,ENGINEERING EQUIPMENT CAR SHARE,FORD,WINDSTAR,2003,FIRE HALL # 1,2965,NULL,43.16833305,13.10916
C1674,"FORKLIFT, HEAVY",hvy equip,Corporate Services Group,FINANCE CENTRAL STORES,TOYOTA,5FD70,2002,MANITOBA YD. (250 W. 70TH),NULL,678,284.9947156,51.5361
C1680,"FORKLIFT, HEAVY",hvy equip,Corporate Services Group,FINANCE CENTRAL STORES,KOMATSU,FG70T-8,2008,MANITOBA YD. (250 W. 70TH),NULL,423,157.5930552,93.00224
C1700,"TRUCK, AERIAL, 34 FT BOOM",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FREIGHTLINER,M2-106,2005,NATIONAL YD. (701 NATIONAL),7016,NULL,424.6761126,79.28247
C1701,"TRUCK, AERIAL, 34 FT BOOM",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FREIGHTLINER,M2-106,2005,NATIONAL YD. (701 NATIONAL),4896,NULL,299.5069438,69.10637
C1702,"TRUCK, AERIAL, 34 FT BOOM",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F550,2009,NATIONAL YD. (701 NATIONAL),19686,NULL,496.6191704,106.68725
C1703,"TRUCK, AERIAL, 34 FT BOOM",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FREIGHTLINER,M2-106,2005,NATIONAL YD. (701 NATIONAL),4084,NULL,202.8411116,40.61778
C1706,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,E150,2002,NATIONAL YD. (701 NATIONAL),6444,NULL,22.49777758,13.59251
C1707,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,GENERAL MOTORS,ASTRO,2005,NATIONAL YD. (701 NATIONAL),3886,NULL,18.8994447,7.18251
C1715,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F150,2002,NATIONAL YD. (701 NATIONAL),4299,NULL,50.96555573,10.93389
C1717,"TRUCK, FLATDECK, POLE CRANE, LIGHT",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F750,2001,NATIONAL YD. (701 NATIONAL),3596,NULL,213.5024993,72.88833
C1718,"TRUCK, AERIAL, 40 FT BOOM",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FREIGHTLINER,FS-65,2006,NATIONAL YD. (701 NATIONAL),NULL,298,370.0741628,26.86611
C1719,"TRUCK, AERIAL, 40 FT BOOM",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FREIGHTLINER,FS-65,2006,NATIONAL YD. (701 NATIONAL),NULL,201,1321.720009,66.15751
C1720,"TRUCK, AERIAL, 40 FT BOOM",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FREIGHTLINER,FS-65,2006,NATIONAL YD. (701 NATIONAL),NULL,-1181,64.33638906,24.11556
C1721,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,GENERAL MOTORS,ASTRO,2002,NATIONAL YD. (701 NATIONAL),8453,NULL,87.43360984,28.02555
C1722,"TRUCK, AERIAL, 34 FT BOOM",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FREIGHTLINER,M2-106,2006,NATIONAL YD. (701 NATIONAL),4092,NULL,372.6380541,64.26664
C1728,"TRUCK, AERIAL, 40 FT BOOM, HYBRID ELEC",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FREIGHTLINER,M2-106 HYBRID,2010,NATIONAL YD. (701 NATIONAL),1376,NULL,763.5922176,74.83946
C1735,"TRUCK, AERIAL, 34 FT BOOM",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FREIGHTLINER,MT45,2008,NATIONAL YD. (701 NATIONAL),5745,NULL,322.513055,91.74001
C1739,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,GENERAL MOTORS,ASTRO,2000,NATIONAL YD. (701 NATIONAL),1121,NULL,70.25944465,9.87471
C1740,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,E150,2000,NATIONAL YD. (701 NATIONAL),991,NULL,89.31861156,24.6244
C1743,"TRUCK, FLATDECK, LIGHT",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F350,2002,NATIONAL YD. (701 NATIONAL),1344,NULL,28.7344439,3.94917
C1746,"TRUCK, AERIAL, 34 FT BOOM",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F450,2002,NATIONAL YD. (701 NATIONAL),4664,NULL,251.7900032,43.52698
C1750,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,E150,2002,NATIONAL YD. (701 NATIONAL),7978,NULL,30.99999964,18.05196
C1753,"TRUCK, DUMP, 1 YARD",hvy trk,Community Services Group,CEMETERY,FORD,F350,2000,MNTN VIEW CEMETERY(5455FRASER),3115,NULL,161.3011098,61.08526
C1754,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING SANITATION OPER.,FORD,FREESTAR,2006,NATIONAL YD. (701 NATIONAL),8854,NULL,282.0005615,50.85416
C1842,"TRUCK, REFUSE, LITTER PICKUP",light duty,Engineering Services,ENGINEERING SANITATION OPER.,FORD,RANGER,2009,MANITOBA YD. (250 W. 70TH),8640,NULL,380.5197184,125.79001
C1843,"TRUCK, REFUSE, LITTER PICKUP",light duty,Engineering Services,ENGINEERING SANITATION OPER.,FORD,RANGER,2009,MANITOBA YD. (250 W. 70TH),16553,NULL,186.602499,61.7264
C1844,"TRUCK, REFUSE, LITTER PICKUP",light duty,Engineering Services,ENGINEERING SANITATION OPER.,FORD,RANGER,2009,MANITOBA YD. (250 W. 70TH),11841,NULL,197.5411116,48.0528
C1845,"TRUCK, REFUSE, LITTER PICKUP",light duty,Engineering Services,ENGINEERING SANITATION OPER.,FORD,RANGER,2009,MANITOBA YD. (250 W. 70TH),19133,NULL,186.2797204,39.25863
C1846,"TRUCK, REFUSE, LITTER PICKUP",light duty,Engineering Services,ENGINEERING SANITATION OPER.,FORD,RANGER,2009,MANITOBA YD. (250 W. 70TH),18720,NULL,211.001109,61.39694
C1848,"TRUCK, REFUSE, LITTER PICKUP",light duty,Engineering Services,ENGINEERING SANITATION OPER.,FORD,RANGER,2009,MANITOBA YD. (250 W. 70TH),24242,NULL,399.8019515,71.45472
C1849,"TRUCK, REFUSE, LITTER PICKUP",light duty,Engineering Services,ENGINEERING SANITATION OPER.,FORD,RANGER,2009,MANITOBA YD. (250 W. 70TH),38127,NULL,216.7277775,74.01891
C1850,"TRUCK, REFUSE, LITTER PICKUP",light duty,Engineering Services,ENGINEERING SANITATION OPER.,FORD,RANGER,2009,MANITOBA YD. (250 W. 70TH),36679,NULL,484.8958354,85.19419
C1851,"TRUCK, REFUSE, LITTER PICKUP",light duty,Engineering Services,ENGINEERING SANITATION OPER.,FORD,RANGER,2009,MANITOBA YD. (250 W. 70TH),24465,NULL,492.7488925,75.20801
C1852,"TRUCK, REFUSE, LITTER PICKUP",light duty,Engineering Services,ENGINEERING SANITATION OPER.,FORD,RANGER,2011,MANITOBA YD. (250 W. 70TH),32482,NULL,225.7541681,48.61668
C1853,"TRUCK, REFUSE, LITTER PICKUP",light duty,Engineering Services,ENGINEERING SANITATION OPER.,FORD,RANGER,2011,MANITOBA YD. (250 W. 70TH),39098,NULL,259.6499999,64.97999
C1855,"TRUCK, REFUSE, LITTER PICKUP",light duty,Engineering Services,ENGINEERING SANITATION OPER.,FORD,RANGER,2011,MANITOBA YD. (250 W. 70TH),37739,NULL,252.3644416,66.30587
C1881,"TRUCK, REFUSE, LITTER PICKUP, SEMI-AUTOMATED",hvy trk,Engineering Services,ENGINEERING SANITATION UTILITY,FORD,F350,2009,MANITOBA YD. (250 W. 70TH),9001,1378,372.1416669,87.67806
C1889,"TRUCK, PICKUP, LIGHT, FOUR WHEEL DRIVE",light duty,Engineering Services,ENGINEERING TRANSFER AND LANDFILL OPER.,FORD,F150,2011,DELTA LANDFILL,10333,NULL,537.4511091,61.2364
C1907,"TRUCK, PICKUP, COMPACT",light duty,Community Services Group,LICENSES AND INSPECTIONS CITY HALL,FORD,RANGER,2009,CAMBIE ST PARKADE,364,NULL,24.67611111,9.37834
C1908,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING SEWERS & DRAINAGE DESIGN,FORD,RANGER,2009,CITY VEH. PRKG. E. WING (10TH),5373,NULL,62.14416759,33.56359
C1916,"VAN, PANEL, COMPACT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,WINDSTAR,2003,CITY VEH. PRKG. E. WING (10TH),3601,NULL,177.2769414,38.02667
C1918,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E150,2002,EVANS YARD (955 EVANS AVE.),7701,NULL,30.54694444,11.5703
C1935,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING EQUIPMENT OPER.,FORD,F150,2012,MANITOBA YD. (250 W. 70TH),6571,NULL,157.694445,14.73916
C1937,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING EQUIPMENT OPER.,FORD,F150,2013,MANITOBA YD. (250 W. 70TH),9225,NULL,N/A,N/A
C1939,"TRUCK, WELDER, SERVICE",hvy trk,Engineering Services,ENGINEERING EQUIPMENT OPER.,FREIGHTLINER,M2-106,2005,MANITOBA YD. (250 W. 70TH),2000,NULL,252.0283307,36.87528
C1941,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,E150,2000,MANITOBA YD. (250 W. 70TH),5125,NULL,223.2755547,7.06389
C1944,"TRUCK, TIRE SERVICE, CRANE",hvy trk,Engineering Services,ENGINEERING EQUIPMENT OPER.,FREIGHTLINER,M2-106,2006,MANITOBA YD. (250 W. 70TH),13312,NULL,1452.861664,131.56335
C1945,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING EQUIPMENT OPER.,FORD,F250,2007,MANITOBA YD. (250 W. 70TH),2446,NULL,24.34305549,9.75113
C1946,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING EQUIPMENT OPER.,FORD,F250,2003,MANITOBA YD. (250 W. 70TH),4498,NULL,90.75722253,20.42692
C1949,"TRUCK, WELDER, SERVICE",hvy trk,Engineering Services,ENGINEERING EQUIPMENT OPER.,FREIGHTLINER,M2-106,2005,MANITOBA YD. (250 W. 70TH),1927,NULL,342.4516675,43.46608
C1950,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING KENT CONSTRUCTION S & S,FORD,F250,2000,KENT YARD (900 E. KENT),2850,NULL,140.3994479,12.84555
C1951,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING SMALL EQUIP. POOL,FORD,F150,2009,MANITOBA YD. (250 W. 70TH),59592,NULL,208.7802804,38.37191
C1953,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,F250,2002,MANITOBA YD. (250 W. 70TH),5308,NULL,125.8627781,27.82277
C1954,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING EQUIPMENT OPER.,FORD,F250,2000,NATIONAL YD. (701 NATIONAL),3297,NULL,170.9888893,60.31194
C1957,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,E250,2002,MANITOBA YD. (250 W. 70TH),6009,NULL,126.5133343,23.8547
C1958,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,F150,2002,MANITOBA YD. (250 W. 70TH),2589,NULL,322.0791746,29.96556
C1959,"VAN, 1.5TON, CUBE BODY",light duty,Engineering Services,ENGINEERING EQUIPMENT OPER.,FORD,E450,2003,MANITOBA YD. (250 W. 70TH),3166,NULL,89.05694213,39.88277
C1963,"TRUCK, DUMP, 3 YARD",hvy trk,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,F750,2003,MANITOBA YD. (250 W. 70TH),3846,NULL,87.70750052,31.21555
C1964,"TRUCK, DUMP, 3 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F750,2003,MANITOBA YD. (250 W. 70TH),9005,NULL,95.56527573,50.67891
C1965,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,F450,2002,MANITOBA YD. (250 W. 70TH),6876,NULL,69.28055561,34.56778
C1966,"TRUCK, CLASS 7, REG CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING EQS LOANER POOL,FREIGHTLINER,MM10604,2011,NATIONAL YD. (701 NATIONAL),3047,NULL,233.2702783,37.81637
C1972,"VAN, MINI, CARGO",light duty,Engineering Services,ENGINEERING WATERWORKS DESIGN,FORD,FREESTAR,2006,CAMBIE ST PARKADE,14059,NULL,155.598055,23.61499
C1974,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING KENT CONSTRUCTION S & S,FORD,TRANSIT CONNECT,2013,KENT YARD (900 E. KENT),11380,NULL,25.51388872,12.67971
C1976,"VAN, PANEL, HEAVY",light duty,Engineering Services,ENGINEERING SURVEY,FORD,E250,2003,CITY VEH. PRKG. E. WING (10TH),5415,NULL,76.92222266,16.59614
C1978,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING STREETS DESIGN,GENERAL MOTORS,SAFARI,2002,CROSSROADS (507 W. BROADWAY),4929,NULL,48.50638959,21.07388
C1979,"VAN, PANEL, HEAVY",light duty,Engineering Services,ENGINEERING SURVEY,FORD,E250,2003,CITY VEH. PRKG. E. WING (10TH),2091,NULL,28.75194502,11.99139
C1980,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING SEWERS & DRAINAGE DESIGN,FORD,E150,2002,CITY VEH. PRKG. E. WING (10TH),7826,NULL,204.7024927,37.89584
C1981,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING STREETS DESIGN,GENERAL MOTORS,SAFARI,2002,CROSSROADS (507 W. BROADWAY),6243,NULL,19.68722139,7.57388
C1982,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS STRUCTURES,FORD,F150,2002,CROSSROADS (507 W. BROADWAY),2873,NULL,120.3102772,14.09389
C1984,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING SEWERS & DRAINAGE DESIGN,FORD,E150,2002,CITY VEH. PRKG. E. WING (10TH),7099,NULL,141.1647227,3.47555
C1985,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING STREETS DESIGN,GENERAL MOTORS,ASTRO,2004,CROSSROADS (507 W. BROADWAY),6716,NULL,19.27055573,6.05054
C1987,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING STREETS DESIGN,GENERAL MOTORS,ASTRO,2004,CROSSROADS (507 W. BROADWAY),6003,NULL,43.40555525,12.67472
C1988,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING STREETS DESIGN,GENERAL MOTORS,ASTRO,2004,CROSSROADS (507 W. BROADWAY),751,NULL,30.0849995,6.48612
C1990,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING STREETS DESIGN,GENERAL MOTORS,ASTRO,2004,CROSSROADS (507 W. BROADWAY),2931,NULL,107.6027775,10.1014
C1991,"VAN, PANEL, HEAVY",light duty,Engineering Services,ENGINEERING SURVEY,FORD,E250,2002,CITY VEH. PRKG. E. WING (10TH),7234,NULL,119.8427774,21.68472
C1992,"VAN, PANEL, HEAVY",light duty,Engineering Services,ENGINEERING EQUIPMENT OPER.,FORD,E250,2003,MANITOBA YD. (250 W. 70TH),675,NULL,27.47111082,13.94806
C1994,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING STREETS DESIGN,GENERAL MOTORS,SAFARI,2002,CROSSROADS (507 W. BROADWAY),6160,NULL,N/A,N/A
C2037,"CONSTRUCTION, LOADER BACKHOE, HEAVY",hvy equip,Engineering Services,ENGINEERING WATERWORKS OPER.,CASE,590SN,2013,MANITOBA YD. (250 W. 70TH),NULL,920,53.62166542,53.43137
C2105,"PAVING, ROLLER VIBRATING, TANDEM, 6-10.99 TON",hvy equip,Engineering Services,ENGINEERING STREETS OPER.,CATERPILLAR,CB434,2005,NATIONAL YD. (701 NATIONAL),NULL,276,119.8958346,17.53223
